slug,company_name,title,description,remote,url,tags,job_types,location,created_at
account-manager-berlin-9697,W&W Human Resources -  Ivonne Wresch -,Account Manager m/w/d,"<p>Möchtest Du als Account Manager m/w/d für ein Unternehmen arbeiten, dass Firmen Lösungen im Bereich des Fuhrparkmanagements zur Verfügung stellt?</p>
<p>Zur Verstärkung des Teams wird ein engagierter und ergebnisorientierten <strong>Account Manager (m/w/d</strong> ) gesucht, der nicht nur für die Pflege und Entwicklung eines bestehenden Kundenportfolios verantwortlich ist, sondern auch neue Umsatzpotenziale durch Up- und Cross-Selling erschließt.</p>
<h2>Aufgaben</h2>
<ul>
<li>Kundenbetreuung: Du bist der direkte Ansprechpartner für die Bestandskunden</li>
<li>Up- und Cross-Selling: Du erkennst Chancen und stellst sicher, dass die Kunden von zusätzlichen Angeboten profitieren</li>
<li>Lösungsorientierte Beratung: Du analysierst die Bedürfnisse Deiner Kunden und entwickelst individuelle Fuhrparkmanagement-Lösungen.</li>
<li>Vertragsverhandlungen: Du führst Verhandlungen und sicherst langfristige Verträge ab, die sowohl den Kunden als auch das Unternehmen zufrieden stellen.</li>
<li>Zusammenarbeit mit internen Teams: Du arbeitest eng mit den Abteilungen Vertrieb, Produktteam und Kundenservice zusammen, um eine reibungslose Kundenbetreuung zu gewährleisten</li>
</ul>
<h2>Qualifikation</h2>
<ul>
<li>Erfahrung im Account Management</li>
<li>Starke Kommunikations- und Verhandlungskompetenzen</li>
<li>Erfahrung in der Umsetzung von Up- und Cross-Selling-Strategien  </li>
<li>Selbstständige, strukturierte Arbeitsweise und ausgeprägte Kundenorientierung  </li>
<li>Technisches Verständnis und Affinität zu digitalen Lösungen </li>
<li>Sicherer Umgang mit CRM-Systemen und MS Office </li>
<li>Fließende Deutschkenntnisse in Wort und Schrift, Englischkenntnisse von Vorteil</li>
</ul>
<h2>Benefits</h2>
<ul>
<li>37,5 Stunden pro Woche, Montag bis Freitag, zwischen 8 und 17 Uhr</li>
<li>Zentrale Lage am S-Bahnhof Friedrichstraße</li>
<li>2500 - 2700 € Fix + 1000 € Provision (bei Zielerreichung, die Provision ist nicht gedeckelt)</li>
<li>Regelmäßige Teamevents und Incentives</li>
<li>Umfangreiche Einarbeitung und regelmäßige Schulungen</li>
<li>40€ Shopping-Guthaben pro Monat</li>
<li>Finanzieller Beitrag zum In-Office-Lunch</li>
<li>Vergünstigte Mitgliedschaft im Urban Sports Club</li>
<li>Corporate Benefits (Rabatte bei vielen Unternehmen wie Samsung, home24 oder Sixt)</li>
<li>Betriebliche Altersvorsorge</li>
</ul>
<p>Haben wir Dein Interesse geweckt? Dann freuen wir uns auf Deine Bewerbung!</p>
<p>Bei Fragen steht Ivonne Wresch gerne zur Verfügung.</p>
<p>Ivonne Wresch</p>
<p>Recruiting Manager</p>
<p>W &#x26; W Human Resources</p>
<p>01523/3605774</p>
<p>Gerne kannst Du deinen Lebenslauf per Whats App schicken.</p>
<p>Find more <a href=""https://www.arbeitnow.com/english-speaking-jobs"">English Speaking Jobs in Germany</a> on Arbeitnow</a>",False,https://www.arbeitnow.com/jobs/companies/ww-human-resources-ivonne-wresch/account-manager-berlin-9697,Customer Service,,Berlin,2025-02-16 20:49:06
telefonischer-kundenberater-call-center-agent-krankenversicherung-hamburg-43927,W&W Human Resources -  Ivonne Wresch -,Telefonischer Kundenberater / Call Center Agent m/w/d Krankenversicherung,"<p>Willst Du für ein Vergleichsportal als Kundenberater m/w/d im Bereich private Krankenversicherung tätig sein?</p>
<p>Als Kundenberater, Telefonsicher Kundenberater, Call Center Agent m/w/d private Krankenversicherung erwartet Dich:</p>
<h2>Aufgaben</h2>
<ul>
<li>telefonisch und schriftliche Kundenbetreuung</li>
<li>eigenständige <strong>Prüfung</strong> und <strong>Eingabe von Versicherungsanträgen</strong></li>
<li>In <strong>Schnittstellenfunktion</strong> klärst Du fachliche Fragen <strong>zwischen Kunden</strong> (m/w/d) und <strong>externen Partnern</strong></li>
<li><strong>Deine Ideen sind wichtig</strong>: Du bringst proaktiv Ideen zur Optimierung von Arbeitsabläufen ein.</li>
</ul>
<h2>Qualifikation</h2>
<ul>
<li>Du hast eine <strong>erfolgreich abgeschlossene</strong> kaufmännische <strong>Ausbildung</strong>, z.B. als Bürokaufmann / Kauffrau (m/w/d) für Büromanagement, Industriekaufmann (m/w/d), Tourismuskauffrau (m/w/d) oder im Gesundheitssektor </li>
<li>Du hast Freude an Beratungsgesprächen und idealerweise bereits <strong>erste Erfahrungen im Kundenkontakt</strong> gesammelt </li>
<li>Du zeichnest Dich durch eine <strong>hohe Kundenorientierung</strong> sowie ein sicheres und freundliches Auftreten im telefonischen und schriftlichen Kontakt aus </li>
<li>Durch Deine <strong>gewissenhafte</strong> und <strong>strukturierte Arbeitsweise</strong> stellst Du sicher, dass die hohen Qualitätsstandards stets erfüllt werden</li>
</ul>
<h2>Benefits</h2>
<ul>
<li>Arbeitszeiten flexibel Montag bis Freitag zwischen 8 und 18 Uhr, Freitag Home Office möglich</li>
<li>100 % kostenfreies Deutschlandticket oder Förderung Firmenfahrradleasing </li>
<li><strong>Umfangreiches Gesundheitspaket:</strong> Ein flexibel abrufbares Gesundheitsbudget und die Möglichkeit, an gemeinsamen sportlichen Aktivitäten (z.B. Fußball, Alsterläufe, Rückenfit – im Sommer auch auf der Dachterrasse) teilzunehmen </li>
<li>kostenloses Mittagessen im Büro</li>
<li>Neben 28 Tagen Urlaub kannst Du bis zu 10 Tage unbezahlten Urlaub in Anspruch nehmen </li>
<li>Ergonomischer Arbeitsplatz mit modernem Equipment (wie z.B. MacBook sowie zusätzliche Bildschirme) und höhenverstellbarem Tisch ab dem ersten Tag</li>
</ul>
<p>Haben wir Dein Interesse geweckt? Dann bewirb dich gerne bei uns. Bei Fragen steht dir Ivonne Wresch gerne zur Verfügung.</p>
<p>01523/3605774 </p>
<p>(gerne auch Bewerbung per WhatsApp)</p>
<p>Ivonne Wresch</p>
<p>W &#x26; W Human Resources</p>
<p>Find <a href=""https://www.arbeitnow.com/"">Jobs in Germany</a> on Arbeitnow</a>",False,https://www.arbeitnow.com/jobs/companies/ww-human-resources-ivonne-wresch/telefonischer-kundenberater-call-center-agent-krankenversicherung-hamburg-43927,Customer Service,,Hamburg,2025-02-16 20:49:06
2350-2800-eur-telefonischer-kundenbetreuer-kundenservice-mo-fr-berlin-339708,W&W Human Resources -  Ivonne Wresch -,2350-2800 € Telefonischer Kundenbetreuer  m/w/d Kundenservice Mo-Fr,"<p>Möchten Sie als Telefonischer Kundenbetreuer / Call Center Agent / Kundenberater m/w/d im Kundenservice für öffentliche Versicherer tätig sein.</p>
<p>Sie sind ein echtes Kommunikations-und Organisationstalent, hilfsbereit und lieben den telefonischen Kundenkontakt? Dann sollten wir uns kennenlernen!</p>
<p><strong>Wir suchen im Inbound Rechtschutzbereich</strong></p>
<p><strong>Mitarbeiter (m/w/d) in der telefonischen Kundenbetreuung</strong></p>
<p>Als Telefonischer Kundenbetreuer / Call Center Agent / Kundenberater m/w/d Kundenservice erwartet Sie:</p>
<h2>Aufgaben</h2>
<ul>
<li>Kundenservice Montag bis Freitag zwischen 8 und 18 Uhr</li>
<li>Beantwortung von Fragen zum Rechtschutzvertrag</li>
<li>Durchführung von Änderungen zum Vertrag (z.B. Adresse, Bankverbindung)</li>
<li>Versand von Dokumenten </li>
<li>Hilfestellung zur Nurtzung des Rechtschutz Kundenportals</li>
</ul>
<h2>Qualifikation</h2>
<p>Sie bringen erste Erfahrungen im kaufmännischen und/oder Dienstleistungsbereich mit. Gerne sind Sie Berufs- oder auch Quereinsteiger und suchen eine neue Herausforderung. Außerdem verfügen Sie idealerweise über:</p>
<ul>
<li>Kommunikations- und Organisationsstärke sowie Hilfsbereitschaft und Empathie</li>
<li>Deutschkenntnisse in Wort und Schrift</li>
<li>Flexibilität und Bereitschaft zwischen 8 und 18 Uhr von Montag bis Freitag zu arbeiten</li>
<li>gute EDV-Kenntnisse in den gängigen Microsoft-Programmen</li>
<li>keinen negativen Schufa Eintrag und kein Eintrag im Führungszeunis</li>
</ul>
<h2>Benefits</h2>
<ul>
<li>intensive Einarbeitung und Schulungen durch eigene Schulungsreferenten</li>
<li>einen Arbeitsplatz, der neben spannenden Aufgaben auch ein freundliches Miteinander und gute Entwicklungsmöglichkeiten mit sich bringt</li>
<li>30 Tage Urlaub und einen unbefristeten Arbeitsvertrag</li>
<li>100 € brutto Fahrkosten ab dem 2. Beschäftigungsmonat</li>
<li>umfangreiche Sozialleistungen sowie viele Extras wie z. B. Kontoführungsgebühr, betriebliche Altersversorgung, Unfallversicherung, vergünstigte Rechtsschutzversicherung, vermögenswirksame Leistungen, einen monatlichen Fahrtkostenzuschuss, Bikeleasing-Angebot, Betriebssportgemeinschaft und viel mehr</li>
<li>mobiles Arbeiten auch im Homeoffice für die Vereinbarkeit von Familien und Beruf (nach der Probezeit)</li>
<li>die Sicherheit und Zuverlässigkeit eines soliden Unternehmens mit starken Partnern</li>
<li>2350 € als Einstiegsgehalt nach Einarbeitung in alles Skills steigt das Gehalt um 350 €</li>
</ul>
<p>Haben wir Ihr Interesse geweckt? Dann freuen wir uns auf Ihre Bewerbung. Sie können sich per Mail oder per WhatsApp bei uns bewerben. Bei Fragen steht Ihnen Ivonne Wresch gerne zur Verfügung.</p>
<p>W &#x26; W Human Resources</p>
<p>Ivonne Wresch</p>
<p>01523/3605774</p>
<p>Find more <a href=""https://www.arbeitnow.com/english-speaking-jobs"">English Speaking Jobs in Germany</a> on Arbeitnow</a>",False,https://www.arbeitnow.com/jobs/companies/ww-human-resources-ivonne-wresch/2350-2800-eur-telefonischer-kundenbetreuer-kundenservice-mo-fr-berlin-339708,Customer Service,,Berlin,2025-02-16 20:49:06
ugc-creator-fur-tiktok-i-zeig-der-welt-die-leckersten-snacks-wutoschingen-397429,Global Treats GmbH,UGC Creator für TikTok I Zeig der Welt die leckersten Snacks! (m/w/d),"<p>Vernasche die Welt ist die angesagte Marke für internationale Süßigkeiten und Snacks, die sich zusammen mit einer leidenschaftlichen Community und Kundschaft für die leckersten und aufregendsten Snacks aus aller Welt begeistert.<br>
Als rasant wachsendes Startup faszinieren wir unsere große, Social-Media-begeisterte Zielgruppe mit innovativen und spannenden Produkten aus der ganzen Welt. Erstklassiger Geschmack und höchste Qualitätsansprüche stehen bei Vernasche die Welt im Mittelpunkt.</p>
<h2>Aufgaben</h2>
<ul>
<li>Erstelle authentische und kreative TikTok- und Instagram-Werbevideos, die unsere einzigartigen Snackboxen in Szene setzen.</li>
<li>Halte dich über aktuelle Trends auf dem Laufenden, um relevanten und markenkonformen Content zu produzieren.</li>
<li>Arbeite mit unserem Marketing-Team zusammen, um ein stimmiges Storytelling sicherzustellen.</li>
</ul>
<h2>Qualifikation</h2>
<ul>
<li>Selbstbewusstes Auftreten und Charisma vor der Kamera.</li>
<li>Erfahrung in der Erstellung kreativer TikTok-/Instagram-Videos sowie Wissen über aktuelle Social-Media-Trends.</li>
<li>Eine kreative Denkweise und ausgezeichnete Kommunikationsfähigkeiten.</li>
</ul>
<h2>Benefits</h2>
<ul>
<li>Sei das Gesicht einer wachsenden, innovativen Marke.</li>
<li>Erhalte exklusiven Zugang zu internationalen Snackboxen</li>
<li>Die Möglichkeit, eine globale Community zu erreichen.</li>
</ul>
<p>Sende uns Links zu deinen TikTok-/Instagram-Profilen oder bisherigen Content-Beispielen.<br>
Zusätzlich brauchen wir ein kurzes Video von dir, in dem du dich vorstellst und erklärst, warum du perfekt für Vernasche die Welt bist. Zeig uns deine Persönlichkeit und deine Präsenz vor der Kamera!</p>
<p>Find more <a href=""https://www.arbeitnow.com/english-speaking-jobs"">English Speaking Jobs in Germany</a> on Arbeitnow</a>",True,https://www.arbeitnow.com/jobs/companies/global-treats-gmbh/ugc-creator-fur-tiktok-i-zeig-der-welt-die-leckersten-snacks-wutoschingen-397429,"Remote, Marketing and Communication",,Wutöschingen,2025-02-16 20:49:06
customer-service-representative-dusseldorf-473465,Japan Management,Customer Service Representative (m/f/d),"<h2>Tasks</h2>
<p>✅ Communicate with customers via phone, email, or chat in either of the following languages: Arabic, Czech, Danish, Dutch, English, Estonian, Finnish, French, German, Greek, Hebrew, Hungarian, Icelandic, Irish, Italian, Japanese, Latvian, Lithuanian, Norwegian, Polish, Portuguese, Slovak, Slovenian, Spanish or Swedish<br>
✅ Provide top-notch support and resolve inquiries efficiently<br>
✅ Offer product/service information and assist with troubleshooting<br>
✅ Ensure customer satisfaction with a friendly and professional approach</p>
<h2>Requirements</h2>
<p>✔️ Fluency in any of the above mentioned languages and good English<br>
✔️ Strong communication and problem-solving skills<br>
✔️ Customer-oriented mindset and willingness to learn<br>
✔️ Ability to work in a fast-paced, team-driven environment</p>
<h2>Benefits</h2>
<p>✨ <strong>Relocation package</strong> (for international candidates)<br>
✨ Competitive salary + performance bonuses<br>
✨ Work in <strong>sunny Greece</strong> with a diverse, international team<br>
✨ Enjoy a work-life balance in one of Europe’s most beautiful destinations!</p>
<p>🚀 <strong>Ready to take your career global? Apply today and join us in Greece!</strong></p>
<p>Find <a href=""https://www.arbeitnow.com/"">Jobs in Germany</a> on Arbeitnow</a>",False,https://www.arbeitnow.com/jobs/companies/japan-management/customer-service-representative-dusseldorf-473465,"CRM, Direct Marketing",entry,Düsseldorf,2025-02-16 19:49:05
finanzbuchhalter-einzelhandelsunternehmen-berlin-397782,Workstation Customer Care,Finanzbuchhalter Einzelhandelsunternehmen m/w/d,"<p>Im Auftrag unseres Kunden, ein namhaftes Unternehmen im Bereich Einzelhandel, suchen wir zum nächstmöglichen Zeitpunkt einen Finanzbuchhalter (m/w/d).</p>
<p>Ihr Aufgabenbereich:</p>
<ul>
<li>Kontierung und Verbuchung anfallender Geschäftsvorgänge</li>
<li>Debitoren- und Kreditorenbuchhaltung</li>
<li>Bearbeitung des Mahnwesens</li>
<li>Abwicklung des Zahlungsverkehrs</li>
<li>Kassenbuchhaltung</li>
</ul>
<p>Ihr Profil:</p>
<ul>
<li>Abgeschlossene kaufmännische Ausbildung oder vergleichbarer Abschluss</li>
<li>Erste Berufserfahrung in den oben genannten Aufgabenbereichen</li>
<li>Sehr gute Kenntnisse im Bereich MS-Office</li>
<li>Eigenständige Arbeitsweise</li>
<li>Zuverlässigkeit</li>
</ul>
<p>Was Sie erwarten können:</p>
<ul>
<li>Intensive Einarbeitung</li>
<li>Modern ausgestatteter Arbeitsplatz</li>
<li>Attraktives Gehaltspaket</li>
<li>Nette Kollegen</li>
</ul>
<p>Wir freuen uns Sie kennenzulernen!  </p>
<p>Find more <a href=""https://www.arbeitnow.com/english-speaking-jobs"">English Speaking Jobs in Germany</a> on Arbeitnow</a>",False,https://www.arbeitnow.com/jobs/companies/workstation-customer-care/finanzbuchhalter-einzelhandelsunternehmen-berlin-397782,Finance,,Berlin,2025-02-16 14:49:03
softwarelosungen-fur-den-gesundheitsbereich-berlin-152758,Workstation Customer Care,Softwarelösungen für den Gesundheitsbereich,"<p>Für die nachfolgende Stelle suchen wir talentierte Persönlichkeiten zur Festanstellung bei unserem Kunden. Als Mitarbeiter (m/w/d) bei unserem Kunden sind Sie verantwortlich für den Vertrieb von Softwarelösungen in den Bereichen Sport und Gesundheit. Ihre Kunden sind Physiotherapeuten, Yoga- und Rückenschulen oder Schwimmkursanbieter - um nur einige zu nennen. Ein attraktives Basisgehalt und lukrative Bonuszahlungen machen dieses Stellenangebot auch aus finanzieller Sicht interessant. </p>
<p>Ihre Aufgaben</p>
<p>Sie sind verantwortlich für den vertriebsorientierten telefonischen Kontakt mit Ihren Kunden
Sie verstehen es, Produkte zielgerichtet zu vermarkten
Sie arbeiten in einem Team, in dem der Humor nicht zu kurz kommt und ein flexibler Einsatz von Ihnen erforderlich ist
Sie erhalten Weiterbildung, Produktschulungen  und Coaching am Arbeitsplatz</p>
<p>Ihre Qualifikation</p>
<p>Sehr ausgeprägte Vertriebs-Affinität
Freude an der Kommunikation mit Kunden
Sehr gute Deutschkenntnisse (gutes sprachliches Ausdrucksvermögen)
Sicherer und schneller Umgang mit dem PC
Bestenfalls erste Berufserfahrung im Vertrieb</p>
<p>Ihre Vorteile</p>
<p>Durch die qualifizierte Aus- und Weiterbildung vergrößern Sie Ihr Know-how.
Sie erhalten eine Festanstellung sowie Mitarbeitervergünstigungen.
Sie arbeiten in einem angenehmen Umfeld.</p>
<p>Wir freuen uns Sie kennenzulernen!  </p>
<p>Find <a href=""https://www.arbeitnow.com/"">Jobs in Germany</a> on Arbeitnow</a>",False,https://www.arbeitnow.com/jobs/companies/workstation-customer-care/softwarelosungen-fur-den-gesundheitsbereich-berlin-152758,Software Development,,Berlin,2025-02-16 14:49:03
servicetechniker-weltweit-verden-290834,"Monika Moser, Executive Search","Servicetechniker (m/w/d), weltweit","<p>Unser Klient ist ein international tätiges Maschinenbauunternehmen, das sich auf <strong>innovative Anlagen zur thermischen Behandlung von Lebensmitteln</strong> spezialisiert hat. Mit Kunden in über <strong>50 Ländern</strong> und einem Exportanteil von über <strong>90 %</strong> zählt es zu den führenden Anbietern in seiner Branche. Als <strong>mittelständisches Familienunternehmen</strong> mit rund <strong>150 Mitarbeitenden</strong> bietet es ein dynamisches Arbeitsumfeld und langfristige Perspektiven. </p>
<p><strong>Die Position – Technik, Kundenkontakt &#x26; internationale Einsätze als Servicetechniker (m/w/d)</strong></p>
<p>Wenn Sie gerne unterwegs sind, modernste Anlagen instand halten und dabei eigenverantwortlich arbeiten möchten, ist diese Position genau das Richtige für Sie!</p>
<h2>Aufgaben</h2>
<p>🔧 <strong>Sie halten die Anlagen am Laufen</strong> – Wartung, Reparatur und Montage von Maschinen direkt bei Kunden vor Ort.<br>
🛠️ <strong>Fehlersuche mit Köpfchen</strong> – Sie analysieren Störungen in der <strong>Steuer- und Regelungstechnik (Siemens S7, WinCC, TIA Portal)</strong> und finden die beste Lösung.<br>
📦 <strong>Ersatzteile gezielt austauschen</strong> – Sie identifizieren defekte Komponenten und sorgen dafür, dass die Anlagen wieder einwandfrei funktionieren.<br>
🎓 <strong>Wissen weitergeben</strong> – Sie schulen Kunden in der Bedienung der Anlagen und zeigen ihnen, wie sie ihre Maschinen optimal nutzen.<br>
🌍 <strong>International unterwegs</strong> – Sie unterstützen <strong>Vertriebspartner weltweit</strong> mit Ihrem technischen Know-how bei Wartungs- und Serviceaufgaben.</p>
<h2>Qualifikation</h2>
<p>✔ <strong>Technische Ausbildung</strong> – Abgeschlossene Ausbildung als <strong>Mechatroniker, Elektroniker oder eine vergleichbare Qualifikation</strong>.<br>
✔ <strong>Service-Erfahrung</strong> – Erfahrung im <strong>technischen Außendienst</strong> oder im Maschinen- &#x26; Anlagenbau.<br>
✔ <strong>Steuerungstechnik-Know-how</strong> – Fundierte Kenntnisse in <strong>Siemens S7, WinCC und TIA Portal</strong>.<br>
✔ <strong>Reisebereitschaft &#x26; Englisch</strong> – Internationale Einsätze sind für Sie kein Problem, und Sie kommunizieren sicher auf <strong>Englisch</strong>.</p>
<h2>Benefits</h2>
<p>💰 <strong>Attraktive Vergütung</strong> – <strong>Grundgehalt bis ca. 60.000 €</strong> plus <strong>Zusatzvergütungen</strong> durch <strong>Zulagen &#x26; Auslöse</strong> – Ihre internationalen Einsätze machen sich bezahlt!<br>
🚗 <strong>Dienstwagen</strong> – Auch zur <strong>privaten Nutzung</strong> – unterwegs sein mit Komfort.<br>
🏝️ <strong>30 Tage Urlaub</strong> – Weil Erholung genauso wichtig ist wie spannende Einsätze. </p>
<p>🍽️ <strong>Betriebliche Benefits</strong> – <strong>Kantine, JobRad, BAV, Corporate Benefits &#x26; Versicherungen</strong>.<br>
🌍 <strong>Abwechslung &#x26; Verantwortung</strong> – Selbstständiges Arbeiten in einem internationalen Umfeld mit viel Eigenverantwortung.</p>
<p>Lassen Sie uns über die Details sprechen! Ich freue mich auf Ihre Bewerbung.</p>
<p>Find <a href=""https://www.arbeitnow.com/"">Jobs in Germany</a> on Arbeitnow</a>",False,https://www.arbeitnow.com/jobs/companies/monika-moser-executive-search/servicetechniker-weltweit-verden-290834,Customer Service,berufserfahren,Verden,2025-02-16 06:49:04
kaufmannische-r-sachbearbeiter-in-mit-buchhaltungskenntnissen-vollzeit-mannheim-200699,HRM Institute GmbH & Co.KG (ehemals boerding messe ),Kaufmännische/r Sachbearbeiter/in mit Buchhaltungskenntnissen (w/m/d) - Vollzeit,"<p>HRM Institute (ehemals børding messe) konzipiert, organisiert und realisiert im In- und Ausland Fachmessen, Expo Festivals, Online Konferenzen und Online Events zu den Themen Personalmanagement, Recruiting, Learning &#x26; Development, Arbeitssicherheit, Corporate Fashion - kurz: b2b Live Kommunikation als Branchentreffpunkt für Fachbesucher mit Entscheidungskompetenz, Top-Anbietern, Experten und Vordenkern in unseren HR-Branchen.</p>
<p>""Connecting HR people""</p>
<p>Dazu passend haben wir eine Reihe digitaler Formate, digitaler Produkte, Online-Weiterbildungen für HR, Fachzeitschriften und [HR-]Jobbörsen entwickelt. Wir sind ein agiles Unternehmen, mit derzeit ca. 30 Mitarbeitern, das sich kontinuierlich weiterentwickelt.</p>
<h2>Aufgaben</h2>
<ul>
<li>Aufbereiten von Daten in der Kosten- und Leistungsrechnung</li>
<li>Kontierung und Verbuchung laufender Geschäftsvorgänge </li>
<li>Vorbereiten der Unterlagen für Steuerberater, Wirtschafts- und Betriebsprüfer  </li>
<li>Kontrolle und Verbuchen von Reisekostenabrechnungen der Firmenmitarbeiter</li>
<li>Prüfen von Kreditkartenabrechnungen </li>
<li>Mitarbeit beim Erstellen von Umsatzsteuervoranmeldungen im Raum D,A,CH</li>
<li>Abwicklung des nationalen und internationalen Zahlungsverkehrs via Star Money und Online Banking</li>
<li>Abwicklung des Mahnwesen </li>
<li>Pflege von Sachkonten </li>
<li>Systematische Erfassung und Abwicklung aller eingehenden und ausgehenden Rechnungen mit DATEV</li>
</ul>
<h2>Qualifikation</h2>
<ul>
<li>Abschluss als Kaufmann/-frau für Büromanagement und entsprechender Qualifizierung in der Finanzbuchhaltung</li>
<li>Mehrjährige Berufserfahrung im Finanz- und Rechnungswesen</li>
<li>Gute Kenntnisse in DATEV</li>
<li>Hohe Loyailität und Eigenmotivation</li>
</ul>
<h2>Benefits</h2>
<ul>
<li>Gleitzeitregelung</li>
<li>Unbefristeter Arbeitsvertrag</li>
<li>Homeoffice-Regelung: 4 Tage Büro / 1 Tag Homeoffice</li>
<li>Fort- und Weiterbildungen</li>
<li>Eine attraktive Altersvorsorge</li>
<li>Aktive Unterstützung bei der Suche von Krippenplätzen durch die Mitgliedschaft in der ""Familiengenossenschaft e.G""</li>
<li>Ein überaus kollegiales Team, das Dich beim Onboarding unterstützt und dir bei allen Fragen zur Seite steht</li>
<li>30 Tage Jahresurlaub</li>
<li>Regelmäßige Team-Events: Sommerfest, Weihnachtsfeier, Firmenlauf, Team-Abende…</li>
<li>Ein tolles Büro mit Blick auf den Rhein und kostenfreien Mitarbeiterparkplätzen</li>
<li>Kostenfreie Getränke [Kaffee, Tee, Säfte, Wasser] &#x26; ausgestattete Küche</li>
<li>Leistungsgerechte Vergütung mit Festgehalt</li>
</ul>
<p>Wir freuen uns auf Deine Online-Bewerbung und Angabe des frühestmöglichen Eintrittstermins.</p>
<p>Find more <a href=""https://www.arbeitnow.com/english-speaking-jobs"">English Speaking Jobs in Germany</a> on Arbeitnow</a>",False,https://www.arbeitnow.com/jobs/companies/hrm-institute-gmbh-cokg-ehemals-boerding-messe/kaufmannische-r-sachbearbeiter-in-mit-buchhaltungskenntnissen-vollzeit-mannheim-200699,Finance,,Mannheim,2025-02-16 01:49:04
sales-manager-sap-hxm-remote-mannheim-93474,tectigo GmbH,Sales Manager SAP HXM (m/w/d) remote,"<p><strong>Willkommen bei tectigo recruiting – Ihrem spezialisierten SAP Headhunter!</strong><br>
Wir sind Experten im SAP-Ökosystem und fokussieren uns auf die SAP-Partnerlandschaft. Unsere Mandanten sind innovative SAP-Beratungshäuser und Add-on-Hersteller – vom spezialisierten Boutique-Partner bis zum internationalen Player. Wenn Sie Ihre Karriere in der SAP-Welt voranbringen möchten, sind Sie bei uns genau richtig!</p>
<h2>Aufgaben</h2>
<ul>
<li><strong>Neukundengewinnung und Ausbau</strong> bestehender Kundenbeziehungen für <strong>SAP HCM und SAP SuccessFactors Lösungen und Services</strong>.</li>
<li><strong>Steuerung aller vertrieblichen Prozesse</strong>, von der Akquise bis zum Abschluss.</li>
<li><strong>Umsatzverantwortung</strong> für den Kundenstamm in einem Vertriebsgebiet innerhalb der <strong>DACH-Region</strong>.</li>
<li><strong>Durchführung von Präsentationen</strong> beim Kunden, sowohl remote als auch vor Ort.</li>
</ul>
<h2>Qualifikation</h2>
<ul>
<li><strong>Erfahrung im Vertrieb von Softwarelösungen</strong>, idealerweise im SAP-Umfeld.</li>
<li><strong>Hohe Eigenständigkeit</strong>, Lernbereitschaft und ein ausgeprägter Teamgedanke.</li>
<li><strong>Kommunikationsstärke</strong> und die Fähigkeit, komplexe Sachverhalte verständlich zu vermitteln.</li>
<li>Sehr gute <strong>Deutsch- und Englischkenntnisse</strong>.</li>
</ul>
<h2>Benefits</h2>
<ul>
<li><strong>Exklusive Karrierechancen</strong> bei führenden SAP-Partnern – vom Mittelstand bis zum internationalen Beratungsunternehmen.</li>
<li><strong>Individueller Entwicklungsplan</strong>, inklusive Weiterbildungsmöglichkeiten.</li>
<li><strong>Flexibles Arbeiten</strong> – Remote, Hybrid oder beim Kunden.</li>
<li><strong>Attraktive Benefits</strong>: Firmenwagen, Jobrad, subventioniertes Mittagessen, neuestes Smartphone, regelmäßige Team-Events und vieles mehr.</li>
<li><strong>Schneller Aufstieg</strong>: Übernehmen Sie rasch Verantwortung und gestalten Sie aktiv mit.</li>
</ul>
<p>Interesse geweckt?</p>
<p>Dann lassen Sie uns sprechen!</p>
<p><strong>Wir freuen uns darauf, Sie kennenzulernen!</strong></p>
<p>Find more <a href=""https://www.arbeitnow.com/english-speaking-jobs"">English Speaking Jobs in Germany</a> on Arbeitnow</a>",False,https://www.arbeitnow.com/jobs/companies/tectigo-gmbh/sales-manager-sap-hxm-remote-mannheim-93474,"SAP/ERP Consulting, Development",berufserfahren,Mannheim,2025-02-16 00:49:04
